institutioncode	publishingorgkey	key	endorsingNodeKey	title	description	language	email	phone	homepage	city	country	postalCode	latitude	longitude	numPublishedDatasets	created	modified	
UFES	503e9b26-09b5-4c40-b42a-bb476319a8ad	503e9b26-09b5-4c40-b42a-bb476319a8ad	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal do Espírito Santo	A Universidade Federal do Espírito Santo (Ufes) é uma instituição autárquica vinculada ao Ministério da Educação (MEC), com autonomia didático-científica, administrativa e de gestão financeira e patrimonial, e que atua com base no princípio da indissociabilidade entre o ensino, a pesquisa e a extensão, com vocação para atuar em todas as áreas do saber. A UFES possui quatro campi universitários – em Goiabeiras e Maruipe, na capital; e nos municípios de Alegre, no sul do Estado; e São Mateus, no norte capixaba. Tem como missão gerar avanços científicos, tecnológicos, artísticos e culturais, por meio do ensino, da pesquisa e da extensão, produzindo e socializando conhecimento para formar cidadãos com capacidade de implementar soluções que promovam o desenvolvimento sustentável.	eng			["http://www.ufes.br"]	Vitória	BR	29075-910			1	2015-06-02T10:22:09.758+0000	2015-06-02T10:22:09.758+0000	
BG	3f3967bf-ecc7-4455-ba89-4e0ab6d6fd3c	3f3967bf-ecc7-4455-ba89-4e0ab6d6fd3c	4f829580-180d-46a9-9c87-ed8ec959b545	University of Bergen	The University Museum of Bergen includes three departments for Cultural History, Natural History and Public Outreach. The Natural History collections consist of collections and staff in botany, geology and zoology. The collections are housed in Muséplass 3 (dry collections and type collections), The Science Building at Allegt. 41 (herbarium), and at Arcus at Midttun (ethanol collection). The Natural History collections also include live collections of plants at the museum garden, The Botanical Garden and The Arboretum.	nor			["http://www.uib.no/en"]	Bergen	NO	N-5020	60.38487	5.32853	8	2014-12-16T13:08:28.214+0000	2015-01-16T08:55:18.586+0000	
MFU	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	4f829580-180d-46a9-9c87-ed8ec959b545	Natural History Museum, University of Oslo	http://www.nhm.uio.no	eng			["http://www.nhm.uio.no"]	Oslo	NO		59.92	10.75	65	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
UEFS	60545be9-4f28-4245-b4b4-07635c8dfa54	60545be9-4f28-4245-b4b4-07635c8dfa54	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Estadual de Feira de Santana	A Universidade Estadual de Feira de Santana, é uma Instituição Pública e gratuita, mantida pelo governo do Estado da Bahia, sob o regime de autarquia.  Criada pela Lei 2784 de 24.01.70, autorizada a funcionar pelo Decreto Federal 77496 de 27.04.76, instalada em 31.05.76 e reconhecida pela Portaria Ministerial nº 874/86 de 19.12.86. A UEFS possui hoje sete módulos onde são desenvolvidos as atividades acadêmicas e Centros Administrativos I, II e III onde são desenvolvidas atividades administrativas. Conta ainda com um Centro de Informática, Parque Esportivo, Prédio da Biblioteca, Creche, Centro de Educação Básica, Residência Universitária, Observatório Astronômico, Estação Climatológica, Centro de Treinamento Xavantes, Sede de Educação Ambiental, Centro Universitário de Cultura e Artes, Museu Casa do Sertão e seis Clínicas Odontológicas. Com objetivo de formar e capacitar novos profissionais a UEFS oferece vários Cursos de Graduação, além dos Cursos de Pós-Graduação onde constam Especializações, Mestrados e Doutorados.	eng			["http://www.uefs.br"]	Feira de Santana	BR	44036-900			1	2015-06-07T18:40:36.423+0000	2015-06-07T18:40:36.423+0000	
CVC	06867940-0867-4b4a-abb2-a57a16fcf2dc	06867940-0867-4b4a-abb2-a57a16fcf2dc	7e865cba-7c46-417b-ade5-97f2cf5b7be0	Corporación Autónoma Regional del Valle del Cauca	La Corporación Autónoma Regional del Valle del Cauca - CVC es un ente descentralizado de carácter público, creado mediante el Decreto No. 3110 de 1954, transformado por la Ley 99 de 1993 y reestructurado por el Decreto Legislativo No. 1275 de 1994, dotado de autonomía administrativa, patrimonio propio y personería jurídica. A partir del 1º de enero de 1995, la CVC asumió el manejo ambiental en la jurisdicción del Valle del Cauca, exceptuando el área urbana del municipio de Cali y los Parques Nacionales Naturales ubicados en este departamento, al igual que el manejo ambiental del Pacífico Vallecaucano, el control de la contaminación atmosférica y el manejo de los residuos sólidos.  Entre las prioridades de la CVC se pueden mencionar el suministro adecuado del agua en cantidad y calidad, la conservación de las cuencas hidrográficas, la búsqueda de mayor eficiencia del uso del suelo, el saneamiento ambiental, el apoyo a los planes de desarrollo municipal y departamental, así como la conservación y manejo de la vida silvestre y las áreas protegidas. Todo lo anterior de conformidad con las disposiciones del actual Ministerio de Ambiente y Desarrollo Sostenible.	spa			["http://www.cvc.gov.co/"]	Santiago de Cali	CO				5	2013-06-17T09:19:10.000+0000	2013-06-17T09:19:10.000+0000	
CAS	66522820-055c-11d8-b84e-b8a03c50a862	66522820-055c-11d8-b84e-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	California Academy of Sciences	A natural history museum, aquarium, and planetarium.	eng	["sblum@calacademy.org"]	["+1 415 379-5189"]	["http://www.calacademy.org"]	San Francisco, CA	US	94118	37.76985	-122.4661	8	2010-05-03T22:02:00.000+0000	2012-05-03T07:48:35.000+0000	
US	bc092ff0-02e4-11dc-991f-b8a03c50a862	bc092ff0-02e4-11dc-991f-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	National Museum of Natural History, Smithsonian Institution	http://www.nmnh.si.edu/	eng	["orrellt@si.org"]		["http://www.nmnh.si.edu/"]	Washington DC	US		38.89133	-77.02579	9	2010-05-03T22:02:00.000+0000	2013-03-21T16:41:24.000+0000	
Universidade Federal da Bahia (UFBA)	afdd8e93-b4e3-491c-88f0-8a22834ac1a9	afdd8e93-b4e3-491c-88f0-8a22834ac1a9	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal da Bahia	A instituição desenvolve atividades através da formação de profissionais do 3o grau no âmbito de ensino, pesquisa e extensão nas áreas de Humanas, Exatas e biológicas.	por	["proad@ufba.br"]		["https://www.ufba.br/"]	Salvador	BR	40170-290	-13.00194	-38.50639	1	2015-05-11T09:28:49.045+0000	2015-05-11T09:29:10.417+0000	
LD	883ee5d0-9177-423d-a636-0284e8a4de46	883ee5d0-9177-423d-a636-0284e8a4de46	a0b3be64-6525-4387-ac67-a499950f92e1	Lund Botanical Museum (LD)		eng					SE				1	2013-05-23T13:30:34.000+0000	2013-05-23T13:30:34.000+0000	
USF	253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9	253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9	8618c64a-93e0-4300-b546-7249e5148ed2	USF Water Institute	The USF Water Institute brings together faculty, students and stakeholders to conduct transdisciplinary research, provide innovative educational experiences, and facilitate public outreach efforts that promote science-based solutions to local and global water challenges. The Plant Atlas (plantatlas.org) is an evolving partnership of herbaria, universities, conservation organizations, government agencies and information technology professionals. Project partners are united by a common need to manage and disseminate vascular and non�?vascular plant information with colleagues and the public. The online Plant Atlas application, originally developed by the University of South Florida, is the tool that these partners have chosen to meet their needs. Project partners share the development and maintenance costs and benefit from the ongoing improvements to the system. The Plant Atlas is developed and maintained by the USF Water Institute.	eng			["http://www.waterinstitute.usf.edu/"]	Tampa	US	33620			2	2017-05-15T12:04:26.039+0000	2017-05-15T12:30:46.799+0000	
	adc174cd-c752-4eee-9630-7c1209eb1c4a	adc174cd-c752-4eee-9630-7c1209eb1c4a	4a6f1b71-969e-4fc5-a693-282b05e1220c	Citizen Science - ALA Website	To view the details of the records, click here http://sightings.ala.org.au/recent	eng	[null]	[null]	[]		AU				1	2012-03-26T13:11:11.000+0000	2017-09-21T20:21:23.663+0000	
Anymals.org	10980920-6dad-11da-ad13-b8a03c50a862	10980920-6dad-11da-ad13-b8a03c50a862	4f6826f2-4ff6-443d-b966-e6913bd24013	Museum für Naturkunde Berlin	Museum für Naturkunde  Leibniz-Institut für Evolutions- und Biodiversitätsforschung  an der Humboldt-Universität zu Berlin    The Museum für Naturkunde is an independent foundation under public law governed by:  . Stiftungsrat (Foundation Board)  . the appointed General Director, the Head of the Museum  . wissenschaftlicher Beirat (Scientific Advisory Board)    The museum is divided into the following Departments:  . The Department for Collections  . The Department for Research Infrastructure  . The Department for Exhibitions and Public Education  . Directorate General, including Administration    Research is organised in temporary research fields ("Forschungsbereiche"), which currently include the following:  . Discovery of Biodiversity  . Genome - Organism - Environment  . Diversity Dynamics  . Impact, Meteorites and Geological Processes  . Collection Development  . Science Communication and History of Science    The number of research fields and topics are flexible and depend on the academic focus of the Museum at any given time. Each research field has its own spokesperson.    See also:   http://www.naturkundemuseum-berlin.de	eng	["info@mfn-berlin.de"]	["+49 (0)30 2093-8591"]	["http://www.naturkundemuseum-berlin.de"]	Berlin	DE	10115	52.5298	13.3796	48	2010-05-03T22:02:00.000+0000	2016-09-07T08:29:20.257+0000	
WU	58520c30-bafb-11d9-8e53-b8a03c50a862	58520c30-bafb-11d9-8e53-b8a03c50a862	1e789bc9-79fc-4e60-a49e-89dfc45a7188	University of Vienna, Institute for Botany - Herbarium WU	http://herbarium.univie.ac.at/	eng			["http://herbarium.univie.ac.at/"]	Vienna	AT		48.19515	16.38142	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
EMAU	7ac19c7e-3e49-4672-ac94-76126d676f40	7ac19c7e-3e49-4672-ac94-76126d676f40	4f6826f2-4ff6-443d-b966-e6913bd24013	Ernst-Moritz-Arndt-Universitaet		deu		["+49 (0)3834 860"]	["http://www.uni-greifswald.de/"]	Greifswald	DE	17487			2	2013-02-20T13:09:14.000+0000	2013-02-20T13:09:14.000+0000	
ArtDatabanken	b8323864-602a-4a7d-9127-bb903054e97d	b8323864-602a-4a7d-9127-bb903054e97d	a0b3be64-6525-4387-ac67-a499950f92e1	ArtDatabanken		eng				Uppsala	SE	SE-750 07			2	2011-04-07T13:03:41.000+0000	2011-04-07T13:03:41.000+0000	
Worcestershire Flora Project	aa569acf-991d-4467-b327-8442f30ddbd2	aa569acf-991d-4467-b327-8442f30ddbd2	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Botanical Society of Britain & Ireland	BSBI helps people learn more about plants and make a contribution to world-class science. We do this by fostering an appreciation and understanding of our wild plants and offering opportunities to learn more about them in a friendly, supportive environment. We bring beginners and experts together and provide our network of volunteers with a dedicated support system as they undertake high quality research across Britain and Ireland. Acting in the public interest to advance our scientific knowledge, BSBI is laying down a legacy for the future by producing data and interpretation which help conserve and protect our wild plants.	eng	["enquiries@bsbi.org"]	[null]	["http://bsbi.org/"]	Shirehampton	GB	BS11 9TA.	51.48736	-2.67962	4	2017-05-09T13:20:37.741+0000	2017-11-16T08:07:36.252+0000	
Cambridgeshire & Peterborough Environmental Records Centre	a9076bb1-5a8b-43ee-a6a8-242fa68f6a5c	a9076bb1-5a8b-43ee-a6a8-242fa68f6a5c	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Cambridgeshire & Peterborough Environmental Records Centre	CPERC manages species and habitat data to provide the most comprehensive source of local biodiversity information for our area    For more information on our records please contact us direct	eng	["data@cperc.org.uk"]	["01954 713571"]	["http://www.cperc.org.uk/"]	Cambourne	GB	CB23 6DH	52.21922		2	2017-05-09T13:45:58.212+0000	2017-11-16T08:08:10.429+0000	
Environment Agency (Biodiversity staff)	392ef839-10ae-4f22-a1ee-a45e535162b4	392ef839-10ae-4f22-a1ee-a45e535162b4	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Environment Agency		eng	["enquiries@environment-agency.gov.uk"]	["03708 506 506"]	["https://www.gov.uk/government/organisations/environment-agency"]		GB				6	2017-05-09T13:53:20.621+0000	2017-11-16T08:09:19.944+0000	
Essex Wildlife Trust Biological Records Centre	22273ba7-7f45-4279-8ced-2114cd2bdb47	22273ba7-7f45-4279-8ced-2114cd2bdb47	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Essex Wildlife Trust Biological Records Centre	Essex Wildlife Trust Records Centre collates and manages biological records to promote data sharing in Essex.	eng	["records@essexwt.org.uk"]	["01621 862999"]	["http://www.essexwtrecords.org.uk/"]	Great Wigborough	GB	CO5 7RZ	51.7961	0.8424	4	2017-05-09T13:53:36.234+0000	2017-11-16T08:12:17.600+0000	
Fife Nature Records Centre	395baaa6-8a14-4ab5-97bb-e97f22e209fb	395baaa6-8a14-4ab5-97bb-e97f22e209fb	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Fife Nature Records Centre	As a Local Environmental Records Centre, Fife Nature gathers and shares information on the wildlife of the area for the benefit of conservation.    Alongside collating records from a wide variety of sources, Fife Nature supports and promotes biological recording to achieve a more comprehensive knowledge of Fife’s biodiversity.    Fife Nature plays an active role in the protection of local wildlife through provision of quality data services, including to the local authority, environmental consultants, conservation bodies and recorders and for education and research.    Fife Nature Records Centre receives financial support from Scottish Natural Heritage (SNH).	eng	["nature.info@fife.gov.uk"]	[null]	["www.fifedirect.org.uk/nature"]	Glenrothes Fife	GB	KY7 5PQ	56.19677	-3.17819	4	2017-05-09T13:53:48.578+0000	2017-11-16T08:11:32.985+0000	
Cofnod - North Wales Environmental Information Service	47eaaa43-47c7-4754-8e7a-bfaf616da4df	47eaaa43-47c7-4754-8e7a-bfaf616da4df	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Cofnod – North Wales Environmental Information Service	Cofnod holds the most comprehensive species, habitats and sites database in North Wales and offer time saving data services, providing high resolution data for Consultants Ecologists and Wildlife Recorders. Data requests are made through our website and are provided, usually within 2 hours, in our unique eMapper online mapping tool, allowing the data to be manipulated and download in a variety of useful formats.	eng	["contactus@cofnod.org.uk"]	["(01248) 672603"]	["http://www.cofnod.org.uk/Home"]	Parc Menai, Bangor	GB	LL57 4FG	53.20631	-4.18353	5	2017-05-09T13:48:03.474+0000	2017-11-16T08:12:23.301+0000	
NY	ae447c50-b8a8-11d8-92a4-b8a03c50a862	ae447c50-b8a8-11d8-92a4-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	The New York Botanical Garden	http://www.nybg.org/	eng			["http://www.nybg.org/"]	Bronx, NY	US		40.83655	-73.87604	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
UFMT	a84dccda-c5b2-4319-abbf-3c24601e89a2	a84dccda-c5b2-4319-abbf-3c24601e89a2	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Federal do Mato Grosso	Criada em 1970, a UFMT é a mais abrangente instituição de ensino superior no Estado, com presença marcante em todas as regiões de Mato Grosso, um território superior a 900 mil quilômetros quadrados. A UFMT é composta por 27 institutos e faculdades, já formou mais de 50 mil profissionais e tem, hoje, mais de 21 mil alunos em seus 101 cursos de graduação e nos 56 de pós-graduação (mestrado e doutorado).  Na pesquisa registrou 576 projetos em 2013 e é responsável pela maior produção científica de Mato Grosso, integrando redes nacionais e internacionais de investigação.	eng			["http://www.ufmt.br"]	Cuiabá	BR	78060-900			1	2015-06-19T09:19:46.126+0000	2015-06-19T09:20:58.170+0000	
UNESPSJRP	92bd7d31-3255-4f1c-8552-cbb6fbe60478	92bd7d31-3255-4f1c-8552-cbb6fbe60478	cdc9736d-5ff7-4ece-9959-3c744360cdb3	Universidade Estadual Paulista - São José do Rio Preto	O Instituto de Biociências, Letras e Ciências Exatas - Ibilce/Unesp teve origem em 1955, como Faculdade de Filosofia, Ciências e Letras (FAFI) de São José do Rio Preto. Em 1957, a FAFI iniciou seu funcionamento com os cursos de História Natural, Letras Neolatinas, Letras Anglo-Germânicas e Pedagogia. Em 1959, o patrimônio da FAFI, que pertencia à Prefeitura Municipal, foi doado ao Estado. Em 1976 foi implantada a Universidade Estadual Paulista "Júlio de Mesquita Filho" (Lei Estadual nº 952/76) e a FAFI passou a fazer parte dela, alterando assim seu nome para Instituto de Biociências, Letras e Ciências Exatas. Atualmente, o IBILCE conta com onze Cursos de Graduação e oferece onze Programas de Pós-Graduação. O Instituto abriga um total de 221 professores, 214 servidores técnico-administrativos, 1911 alunos de graduação e 980 alunos de pós-graduação.	eng			["http://www.ibilce.unesp.br"]	São José do  Rio Preto	BR	15054-000			4	2015-06-19T09:03:29.551+0000	2015-06-19T10:30:00.816+0000	
LWI	b41e07a6-63ec-4903-afa1-6bee41498326	b41e07a6-63ec-4903-afa1-6bee41498326	90a939d3-e99c-4f6d-915f-2616423b3735	Albertine Rift Conservation Society (ARCOS)	ARCOS is a regional Conservation non-profit working in the Albertine rift (Uganda, Rwanda, Burundi, Tanzania, East DRC and Northern Zambia. One of the core areas of ARCOS' work is to promote understanding of biodiversity and ecosystem services in this region in order to achieve biodiversity conservation and sustainable management of natural resources. In this framework, ARCOS developed the ARCOS Biodiversity Information Management System (ARBIMS) as a platform to facilitate biodiversity data sharing and information exchange to support informed decision in the region. ARCOS sustains an effort to mobilize data holders in this region and supports them to publish their data using standard tools.	eng			["http://arcosnetwork.org"]						5	2015-04-13T15:00:52.976+0000	2015-04-30T08:47:29.785+0000	
Naturalis	396d5f30-dea9-11db-8ab4-b8a03c50a862	396d5f30-dea9-11db-8ab4-b8a03c50a862	0909d601-bda2-42df-9e63-a6d51847ebce	Naturalis Biodiversity Center	Naturalis Biodiversity Center is the result of cooperation between Amsterdam University (Amsterdam Zoological Museum), Leiden University and Wageningen University and Research Centre (National Herbarium Nederland) and the Dutch National Natural History Museum Naturalis in Leiden. Naturalis Biodiversity Center is an active research and education center and hosts one of the largest natural history collections in the world.	eng	["contact@naturalis.nl"]	["31(0)71-5687600"]	["http://www.naturalis.nl"]	Leiden	NL	NL-2300 RA	52.16482	4.47515	40	2010-05-03T22:02:00.000+0000	2016-12-23T10:32:47.186+0000	
KU	b554c320-0560-11d8-b851-b8a03c50a862	b554c320-0560-11d8-b851-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	University of Kansas Biodiversity Institute	http://www.nhm.ku.edu/	eng			["http://www.nhm.ku.edu/"]	Lawrence, KS	US		38.95851	-95.24383	11	2010-05-03T22:02:00.000+0000	2014-08-29T07:50:02.811+0000	
Laboratoire des Sciences Foresti?res (LSF)	b2db85d5-c5fe-4125-9e36-590a5f651829	b2db85d5-c5fe-4125-9e36-590a5f651829	efb9c00e-f802-45dd-8826-a52ec45b89ff	GBIF Benin		eng					BJ		6.35459	2.40821	52	2011-08-17T08:59:16.000+0000	2011-08-17T11:49:27.000+0000	
	1649bf8c-d7e0-482a-9f1a-8292cd418c62	1649bf8c-d7e0-482a-9f1a-8292cd418c62	4ddd294f-02b7-4359-ac33-0806a9ca9c6b	Department of Biology, University of Copenhagen		eng			["http://www1.bio.ku.dk/english/"]		DK				5	2012-11-09T11:06:17.000+0000	2012-11-09T11:06:17.000+0000	
IAvH	2a7e3080-28a9-11dd-97cd-b8a03c50a862	2a7e3080-28a9-11dd-97cd-b8a03c50a862	7e865cba-7c46-417b-ade5-97f2cf5b7be0	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	La misión del Instituto Humboldt es promover, coordinar y realizar investigación que contribuya al conocimiento, la conservación y el uso sostenible de la biodiversidad como un factor de desarrollo y bienestar de la población colombiana. Trabaja en red con múltiples organizaciones, con capacidad para incidir en la toma de decisiones y en las políticas públicas. Como parte de sus funciones, el Instituto se encarga de realizar, en el territorio continental de la Nación, la investigación científica sobre biodiversidad, incluyendo los recursos hidrobiológicos y genéticos. Así mismo, coordina el Sistema Nacional de Información sobre Biodiversidad (SIB Colombia) y la conformación del inventario nacional de la biodiversidad. Esta misión es clave porque la biodiversidad brinda servicios esenciales  para la salud y el desarrollo, no sólo por las especies particulares con atributos alimenticios y medicinales, sino también por los ecosistemas que, si mantienen su integridad, regulan el clima, el agua y frenan la difusión de enfermedades infecciosas.	spa		["57 13202767"]	["http://www.humboldt.org.co/"]	Bogotá D.C.	CO		4.60987	-74.08205	176	2010-05-03T22:02:00.000+0000	2017-12-15T08:41:29.655+0000	
